,Category,Name_Category,Name_SubCategory,slug,ecv
223,9,Fruits et légumes,Ananas,ananas,1.3614345
224,9,Fruits et légumes,Banane,banane,0.908523
225,9,Fruits et légumes,Avocat,avocat,1.5525229999999999
226,9,Fruits et légumes,Carambole,carambole,0.5535079999999999
227,9,Fruits et légumes,Datte,datte,2.8927609999999997
228,9,Fruits et légumes,Fruit de la passion,fruitdelapassion,0.937608
229,9,Fruits et légumes,Grenade,grenade,0.4985215
230,9,Fruits et légumes,Kaki,kaki,0.9495215
231,9,Fruits et légumes,Noix de coco,noixdecoco,2.4109410000000002
232,9,Fruits et légumes,Pastèque,pasteque,0.6805
233,10,Usage numérique,Email,email,0.00246181262
234,10,Usage numérique,Spam,spam,0.00373863698
235,10,Usage numérique,Stocker un go de donnée,stockagedonnee,0.00023533417
236,10,Usage numérique,Recherche sur le web,rechercheweb,0.051042269652307
237,10,Usage numérique,Streaming vidéo,streamingvideo,0.06401675291000002
238,10,Usage numérique,Visioconférence,visioconference,0.05706336546216
239,10,Usage numérique,Go de donnée,telechargement,0.00950468087
240,13,Cas pratiques,A/R Paris - New-York en avion,avion-pny,1770.0
241,13,Cas pratiques,A/R Paris - Berlin en tgv,tgv-paris-berlin,7.26
242,13,Cas pratiques,A/R Paris - Marseille en tgv,tgv-paris-marseille,4.4
243,13,Cas pratiques,A/R Lille - Nîmes en voiture,voiture-lille-nimes,410.0
244,13,Cas pratiques,Empreinte carbone d'un citoyen français,francais,9300.0
245,13,Cas pratiques,Game of Thrones en streaming,game-of-thrones,0.0317
246,13,Cas pratiques,Intégrale de Friends en streaming,friends,7.86
247,13,Cas pratiques,Journée au ski,ski,48.9
248,13,Cas pratiques,Remplissage de piscine,piscine,7.54
249,13,Cas pratiques,Tour de la terre en voiture,terre-voiture,8704.0
250,13,Cas pratiques,Marathon des films Harry Potter en streaming,harry-potter,0.63
251,13,Cas pratiques,Nuit dans un hôtel,hotel,4.3
252,13,Cas pratiques,Nuit au camping,camping,1.4
253,13,Cas pratiques,Nuit dans une location saisonnière,location,5.2
254,13,Cas pratiques,Nuit dans une résidence secondaire,residencesecondaire,7.0
255,13,Cas pratiques,Objectif citoyen pour 2050,2050,2000.0
