,Category,Name_Category,Name_SubCategory,slug,ecv,User,Usage,Use_Total,Unité,Emoji,Category_ML
105,10,Usage Numérique,Visioconférence (en nombre d'heures),Usage numérique,0.0571,1820,0,103.922, ,💻,Usage Numérique
106,13,Cas pratiques,Journée au ski,ski,48.9,0,0,0, ,🕑,Cas pratiques
107,13,Cas pratiques,Remplissage de piscine,piscine,7.54,0,0,0, ,🕑,Cas pratiques
108,13,Cas pratiques,Tour de la terre en voiture,terre-voiture,8704,0,0,0, ,🕑,Cas pratiques
109,13,Cas pratiques,Marathon des films Harry Potter en streaming,harry-potter,0.63,0,0,0, ,🕑,Cas pratiques
110,13,Cas pratiques,Nuit dans un hôtel,hotel,4.3,0,0,0, ,🕑,Cas pratiques
111,13,Cas pratiques,Nuit au camping,camping,1.4,0,0,0, ,🕑,Cas pratiques
112,13,Cas pratiques,Nuit dans une location saisonnière,location,5.2,0,0,0, ,🕑,Cas pratiques
113,13,Cas pratiques,Objectif citoyen pour 2050,2050,2000,0,0,0, ,🕑,Cas pratiques
114,13,Cas pratiques,Nuit dans une résidence secondaire,residencesecondaire,7,0,0,0, ,🕑,Cas pratiques
115,13,Cas pratiques,A/R Paris - New-York en avion,avion-pny,1770,0,0,0, ,🕑,Cas pratiques
116,13,Cas pratiques,A/R Paris - Berlin en tgv,tgv-paris-berlin,7.26,0,0,0, ,🕑,Cas pratiques
117,13,Cas pratiques,A/R Paris - Marseille en tgv,tgv-paris-marseille,4.4,0,0,0, ,🕑,Cas pratiques
118,13,Cas pratiques,A/R Lille - Nîmes en voiture,voiture-lille-nimes,410,0,0,0, ,🕑,Cas pratiques
119,13,Cas pratiques,Empreinte carbone d'un citoyen français,francais,9300,0,0,0, ,🕑,Cas pratiques
120,13,Cas pratiques,Game of Thrones en streaming,game-of-thrones,0.0317,0,0,0, ,🕑,Cas pratiques
121,13,Cas pratiques,Intégrale de Friends en streaming,friends,7.86,0,0,0, ,🕑,Cas pratiques
